Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,23/03/2017 19:20,MCG,Carlton,Richmond,89 - 132
2,1,24/03/2017 19:50,MCG,Collingwood,Western Bulldogs,86 - 100
3,1,25/03/2017 16:35,SCG,Sydney,Port Adelaide,82 - 110
4,1,25/03/2017 16:35,Etihad Stadium,St Kilda,Melbourne,90 - 120
5,1,25/03/2017 19:25,Metricon Stadium,Gold Coast,Brisbane,96 - 98
6,1,25/03/2017 19:25,MCG,Essendon,Hawthorn,116 - 91
7,1,26/03/2017 13:10,Etihad Stadium,North Melbourne,West Coast,93 - 136
8,1,26/03/2017 15:20,Adelaide Oval,Adelaide,GWS Giants,147 - 91
9,1,26/03/2017 19:40,Domain Stadium,Fremantle,Geelong,73 - 115
10,2,30/03/2017 19:20,MCG,Richmond,Collingwood,99 - 80
11,2,31/03/2017 19:50,Etihad Stadium,Western Bulldogs,Sydney,110 - 87
12,2,01/04/2017 13:45,MCG,Hawthorn,Adelaide,89 - 113
13,2,01/04/2017 16:35,Spotless Stadium,GWS Giants,Gold Coast,160 - 58
14,2,01/04/2017 19:25,Gabba,Brisbane,Essendon,84 - 111
15,2,01/04/2017 19:40,Domain Stadium,West Coast,St Kilda,116 - 97
16,2,02/04/2017 12:10,Etihad Stadium,Geelong,North Melbourne,112 - 111
17,2,02/04/2017 14:20,MCG,Melbourne,Carlton,86 - 64
18,2,02/04/2017 15:40,Adelaide Oval,Port Adelaide,Fremantle,145 - 56
19,3,07/04/2017 19:50,SCG,Sydney,Collingwood,79 - 80
20,3,08/04/2017 13:45,Blundstone Arena,North Melbourne,GWS Giants,67 - 109
21,3,08/04/2017 14:10,MCG,Richmond,West Coast,76 - 65
22,3,08/04/2017 16:35,Etihad Stadium,Geelong,Melbourne,126 - 97
23,3,08/04/2017 19:40,Adelaide Oval,Port Adelaide,Adelaide,83 - 100
24,3,08/04/2017 19:40,Domain Stadium,Fremantle,Western Bulldogs,89 - 73
25,3,09/04/2017 13:10,Etihad Stadium,St Kilda,Brisbane,107 - 76
26,3,09/04/2017 15:20,MCG,Carlton,Essendon,57 - 42
27,3,09/04/2017 16:40,Metricon Stadium,Gold Coast,Hawthorn,139 - 53
28,4,13/04/2017 20:10,Domain Stadium,West Coast,Sydney,91 - 65
29,4,14/04/2017 16:20,Etihad Stadium,North Melbourne,Western Bulldogs,86 - 89
30,4,15/04/2017 13:45,MCG,Melbourne,Fremantle,104 - 106
31,4,15/04/2017 16:35,Manuka Oval,GWS Giants,Port Adelaide,112 - 81
32,4,15/04/2017 19:25,Etihad Stadium,Carlton,Gold Coast,82 - 108
33,4,15/04/2017 19:40,Adelaide Oval,Adelaide,Essendon,153 - 88
34,4,16/04/2017 15:20,Etihad Stadium,Collingwood,St Kilda,55 - 69
35,4,16/04/2017 16:40,Gabba,Brisbane,Richmond,67 - 119
36,4,17/04/2017 15:20,MCG,Hawthorn,Geelong,48 - 134
37,5,21/04/2017 19:50,Adelaide Oval,Port Adelaide,Carlton,137 - 47
38,5,22/04/2017 13:45,Etihad Stadium,Western Bulldogs,Brisbane,122 - 90
39,5,22/04/2017 16:35,Metricon Stadium,Gold Coast,Adelaide,86 - 153
40,5,22/04/2017 19:25,SCG,Sydney,GWS Giants,63 - 105
41,5,22/04/2017 19:40,Domain Stadium,Fremantle,North Melbourne,67 - 62
42,5,23/04/2017 15:20,Etihad Stadium,St Kilda,Geelong,88 - 126
43,5,23/04/2017 16:40,MCG,Hawthorn,West Coast,125 - 75
44,5,24/04/2017 19:25,MCG,Richmond,Melbourne,88 - 75
45,5,25/04/2017 15:20,MCG,Essendon,Collingwood,100 - 82
46,6,28/04/2017 19:50,Manuka Oval,GWS Giants,Western Bulldogs,75 - 73
47,6,29/04/2017 13:45,University of Tasmania Stadium,Hawthorn,St Kilda,55 - 130
48,6,29/04/2017 14:10,MCG,Carlton,Sydney,97 - 78
49,6,29/04/2017 16:35,Gabba,Brisbane,Port Adelaide,67 - 150
50,6,29/04/2017 19:25,Etihad Stadium,North Melbourne,Gold Coast,107 - 94
51,6,29/04/2017 20:10,Domain Stadium,West Coast,Fremantle,103 - 62
52,6,30/04/2017 13:10,Eithad Stadium,Essendon,Melbourne,74 - 112
53,6,30/04/2017 15:20,MCG,Geelong,Collingwood,78 - 107
54,6,30/04/2017 16:40,Adelaide Oval,Adelaide,Richmond,140 - 64
55,7,05/05/2017 19:50,Etihad Stadium,St Kilda,GWS Giants,108 - 85
56,7,06/05/2017 13:45,Blundstone Arena,North Melbourne,Adelaide,145 - 86
57,7,06/05/2017 14:10,MCG,Collingwood,Carlton,56 - 79
58,7,06/05/2017 16:35,Adelaide Oval,Port Adelaide,West Coast,87 - 97
59,7,06/05/2017 19:25,Metricon Stadium,Gold Coast,Geelong,124 - 99
60,7,06/05/2017 19:25,Etihad Stadium,Western Bulldogs,Richmond,80 - 75
61,7,07/05/2017 13:10,SCG,Sydney,Brisbane,135 - 81
62,7,07/05/2017 15:20,MCG,Melbourne,Hawthorn,91 - 94
63,7,07/05/2017 16:40,Domain Stadium,Fremantle,Essendon,116 - 79
64,8,12/05/2017 20:10,Domain Stadium,West Coast,Western Bulldogs,69 - 61
65,8,13/05/2017 13:45,University of Tasmania Stadium,Hawthorn,Brisbane,113 - 75
