Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,OR,07/03/2024 08:30,SCG,Sydney Swans,Melbourne,86 - 64
2,OR,08/03/2024 08:40,Gabba,Brisbane Lions,Carlton,85 - 86
3,OR,09/03/2024 05:20,People First Stadium,Gold Coast Suns,Richmond,99 - 60
4,OR,09/03/2024 08:30,ENGIE Stadium,GWS Giants,Collingwood,114 - 82
5,1,14/03/2024 08:30,MCG,Carlton,Richmond,86 - 81
6,1,15/03/2024 08:40,MCG,Collingwood,Sydney Swans,69 - 102
7,1,16/03/2024 02:45,MCG,Essendon,Hawthorn,107 - 83
8,1,16/03/2024 05:35,ENGIE Stadium,GWS Giants,North Melbourne,121 - 82
9,1,16/03/2024 08:30,GMHBA Stadium,Geelong Cats,St Kilda,76 - 68
10,1,16/03/2024 09:10,People First Stadium,Gold Coast Suns,Adelaide Crows,60 - 54
11,1,17/03/2024 02:00,MCG,Melbourne,Western Bulldogs,109 - 64
12,1,17/03/2024 05:00,Adelaide Oval,Port Adelaide,West Coast Eagles,120 - 70
13,1,17/03/2024 07:50,Optus Stadium,Fremantle,Brisbane Lions,93 - 70
14,2,21/03/2024 08:30,MCG,St Kilda,Collingwood,94 - 79
15,2,22/03/2024 08:40,Adelaide Oval,Adelaide Crows,Geelong Cats,77 - 96
16,2,23/03/2024 02:45,Marvel Stadium,North Melbourne,Fremantle,76 - 102
17,2,23/03/2024 05:35,MCG,Hawthorn,Melbourne,38 - 93
18,2,23/03/2024 08:30,SCG,Sydney Swans,Essendon,131 - 101
19,2,24/03/2024 02:00,Mars Stadium,Western Bulldogs,Gold Coast Suns,115 - 67
20,2,24/03/2024 05:00,MCG,Richmond,Port Adelaide,92 - 122
21,2,24/03/2024 07:50,Optus Stadium,West Coast Eagles,GWS Giants,43 - 108
22,3,28/03/2024 08:30,Gabba,Brisbane Lions,Collingwood,72 - 92
23,3,29/03/2024 05:20,Marvel Stadium,North Melbourne,Carlton,81 - 137
24,3,29/03/2024 08:30,Optus Stadium,Fremantle,Adelaide Crows,69 - 34
25,3,30/03/2024 05:20,Marvel Stadium,Essendon,St Kilda,71 - 67
26,3,30/03/2024 08:30,Adelaide Oval,Port Adelaide,Melbourne,89 - 96
27,3,31/03/2024 02:00,Marvel Stadium,Western Bulldogs,West Coast Eagles,106 - 30
28,3,31/03/2024 05:00,MCG,Richmond,Sydney Swans,82 - 77
29,3,01/04/2024 04:20,MCG,Hawthorn,Geelong Cats,70 - 106
30,4,04/04/2024 08:40,Adelaide Oval,Adelaide Crows,Melbourne,63 - 78
31,4,05/04/2024 06:10,Norwood Oval,Brisbane Lions,North Melbourne,112 - 42
32,4,05/04/2024 09:10,Adelaide Oval,Port Adelaide,Essendon,111 - 42
33,4,06/04/2024 02:30,Adelaide Hills,West Coast Eagles,Sydney Swans,78 - 104
34,4,06/04/2024 05:20,Adelaide Oval,Fremantle,Carlton,63 - 73
35,4,06/04/2024 09:10,Adelaide Oval,Western Bulldogs,Geelong Cats,91 - 95
36,4,07/04/2024 02:30,Adelaide Hills,Gold Coast Suns,GWS Giants,89 - 117
37,4,07/04/2024 05:20,Norwood Oval,Richmond,St Kilda,60 - 67
38,4,07/04/2024 07:10,Adelaide Oval,Collingwood,Hawthorn,77 - 72
39,5,11/04/2024 09:30,MCG,Melbourne,Brisbane Lions,60 - 82
40,5,12/04/2024 09:40,Marvel Stadium,Western Bulldogs,Essendon,67 - 96
41,5,13/04/2024 03:45,Manuka Oval,GWS Giants,St Kilda,80 - 79
42,5,13/04/2024 06:35,Marvel Stadium,Carlton,Adelaide Crows,98 - 100
43,5,13/04/2024 09:30,People First Stadium,Gold Coast Suns,Hawthorn,109 - 56
44,5,13/04/2024 09:30,Adelaide Oval,Port Adelaide,Fremantle,66 - 63
45,5,14/04/2024 03:00,GMHBA Stadium,Geelong Cats,North Melbourne,139 - 64
46,5,14/04/2024 06:00,Optus Stadium,West Coast Eagles,Richmond,109 - 70
47,6,18/04/2024 09:30,Marvel Stadium,St Kilda,Western Bulldogs,64 - 124
48,6,19/04/2024 09:40,Adelaide Oval,Adelaide Crows,Essendon,75 - 78
49,6,20/04/2024 03:45,MCG,Collingwood,Port Adelaide,123 - 81
50,6,20/04/2024 06:35,Marvel Stadium,Carlton,GWS Giants,117 - 98
51,6,20/04/2024 09:30,Gabba,Brisbane Lions,Geelong Cats,37 - 63
52,6,20/04/2024 10:10,Optus Stadium,West Coast Eagles,Fremantle,105 - 68
53,6,21/04/2024 03:05,SCG,Sydney Swans,Gold Coast Suns,110 - 57
54,6,21/04/2024 06:05,Marvel Stadium,North Melbourne,Hawthorn,68 - 113
55,7,24/04/2024 09:25,MCG,Richmond,Melbourne,42 - 85
56,7,25/04/2024 05:20,MCG,Essendon,Collingwood,85 - 85
57,7,25/04/2024 09:35,Manuka Oval,GWS Giants,Brisbane Lions,113 - 59
58,7,26/04/2024 09:40,Adelaide Oval,Port Adelaide,St Kilda,82 - 72
59,7,27/04/2024 03:45,Blundstone Arena,North Melbourne,Adelaide Crows,81 - 138
60,7,27/04/2024 06:35,MCG,Geelong Cats,Carlton,118 - 105
61,7,27/04/2024 09:40,Optus Stadium,Fremantle,Western Bulldogs,95 - 71
62,7,28/04/2024 03:00,People First Stadium,Gold Coast Suns,West Coast Eagles,112 - 75
63,7,28/04/2024 06:00,MCG,Hawthorn,Sydney Swans,42 - 118
64,8,02/05/2024 09:30,Adelaide Oval,Adelaide Crows,Port Adelaide,78 - 48
65,8,03/05/2024 09:40,MCG,Carlton,Collingwood,79 - 85
66,8,04/05/2024 03:45,SCG,Sydney Swans,GWS Giants,98 - 69
67,8,04/05/2024 06:35,Marvel Stadium,St Kilda,North Melbourne,103 - 65
68,8,04/05/2024 09:30,MCG,Melbourne,Geelong Cats,74 - 66
69,8,04/05/2024 10:10,Optus Stadium,West Coast Eagles,Essendon,71 - 77
70,8,05/05/2024 03:00,MCG,Richmond,Fremantle,49 - 103
71,8,05/05/2024 06:00,Marvel Stadium,Western Bulldogs,Hawthorn,91 - 98
