Round Number,Date,Location,Home Team,Away Team,Result
3,21/06/2020 10:10,Metricon Stadium,Fremantle,Port Adelaide,41 - 70
4,25/06/2020 09:40,SCG,Sydney Swans,Western Bulldogs,39 - 67
4,26/06/2020 09:50,GIANTS Stadium,GWS Giants,Collingwood,66 - 64
4,27/06/2020 03:45,Metricon Stadium,Port Adelaide,West Coast Eagles,89 - 41
4,27/06/2020 06:35,Marvel Stadium,St Kilda,Richmond,93 - 67
4,27/06/2020 09:40,MCG,Essendon,Carlton,51 - 52
4,27/06/2020 09:40,Metricon Stadium,Gold Coast Suns,Fremantle,64 - 51
4,28/06/2020 03:05,Gabba,Brisbane Lions,Adelaide Crows,83 - 46
4,28/06/2020 05:35,MCG,Melbourne,Geelong Cats,44 - 47
4,28/06/2020 08:10,Marvel Stadium,Hawthorn,North Melbourne,58 - 54
5,02/07/2020 09:40,MCG,Carlton,St Kilda,55 - 73
5,03/07/2020 09:50,MCG,Collingwood,Essendon,48 - 63
5,04/07/2020 03:45,Metricon Stadium,West Coast Eagles,Sydney Swans,77 - 43
5,04/07/2020 06:35,GMHBA Stadium,Geelong Cats,Gold Coast Suns,89 - 52
5,04/07/2020 09:40,Marvel Stadium,Western Bulldogs,North Melbourne,87 - 38
5,04/07/2020 09:40,Gabba,Brisbane Lions,Port Adelaide,85 - 48
5,05/07/2020 03:05,Metricon Stadium,Adelaide Crows,Fremantle,34 - 54
5,05/07/2020 05:35,MCG,Melbourne,Richmond,52 - 79
5,05/07/2020 08:10,GIANTS Stadium,GWS Giants,Hawthorn,83 - 49
6,09/07/2020 09:40,SCG,Geelong Cats,Brisbane Lions,73 - 46
6,10/07/2020 09:50,GIANTS Stadium,Collingwood,Hawthorn,59 - 27
6,11/07/2020 02:35,Metricon Stadium,Fremantle,St Kilda,79 - 73
6,11/07/2020 05:05,Gabba,West Coast Eagles,Adelaide Crows,67 - 34
6,11/07/2020 08:05,GIANTS Stadium,Melbourne,Gold Coast Suns,80 - 63
6,11/07/2020 09:40,Metricon Stadium,Essendon,North Melbourne,67 - 53
6,12/07/2020 03:05,Metricon Stadium,Port Adelaide,GWS Giants,63 - 46
6,12/07/2020 05:35,Gabba,Richmond,Sydney Swans,34 - 26
6,12/07/2020 08:45,Metricon Stadium,Carlton,Western Bulldogs,103 - 51
7,16/07/2020 10:10,Optus Stadium,Geelong Cats,Collingwood,35 - 57
7,17/07/2020 09:50,Metricon Stadium,Essendon,Western Bulldogs,51 - 93
7,18/07/2020 03:45,GIANTS Stadium,GWS Giants,Brisbane Lions,68 - 88
7,18/07/2020 06:35,SCG,Sydney Swans,Gold Coast Suns,60 - 92
7,18/07/2020 09:40,Metricon Stadium,Richmond,North Melbourne,77 - 23
7,19/07/2020 03:05,Gabba,Carlton,Port Adelaide,61 - 64
7,19/07/2020 05:35,GIANTS Stadium,Hawthorn,Melbourne,48 - 91
7,19/07/2020 08:35,Optus Stadium,Fremantle,West Coast Eagles,32 - 62
7,20/07/2020 09:40,Adelaide Oval,Adelaide Crows,St Kilda,55 - 78
8,23/07/2020 09:40,Metricon Stadium,Gold Coast Suns,Western Bulldogs,46 - 51
8,24/07/2020 09:50,GIANTS Stadium,GWS Giants,Richmond,62 - 50
8,25/07/2020 03:05,Gabba,North Melbourne,Carlton,57 - 64
8,25/07/2020 05:35,SCG,Sydney Swans,Hawthorn,60 - 53
8,25/07/2020 09:40,Adelaide Oval,Port Adelaide,St Kilda,44 - 73
8,26/07/2020 03:05,Adelaide Oval,Adelaide Crows,Essendon,59 - 62
8,26/07/2020 05:35,Optus Stadium,West Coast Eagles,Collingwood,111 - 45
8,26/07/2020 08:10,Metricon Stadium,Melbourne,Brisbane Lions,49 - 53
8,27/07/2020 10:10,Optus Stadium,Fremantle,Geelong Cats,16 - 48
9,29/07/2020 09:10,Metricon Stadium,Western Bulldogs,Richmond,49 - 90
9,30/07/2020 09:50,Gabba,Melbourne,Port Adelaide,32 - 83
9,31/07/2020 07:40,Optus Stadium,Carlton,Hawthorn,58 - 89
9,31/07/2020 10:10,Metricon Stadium,Essendon,Brisbane Lions,28 - 91
9,01/08/2020 04:35,Metricon Stadium,North Melbourne,Adelaide Crows,119 - 50
9,01/08/2020 07:10,Gabba,St Kilda,Sydney Swans,101 - 48
9,01/08/2020 10:10,Optus Stadium,West Coast Eagles,Geelong Cats,73 - 64
9,02/08/2020 05:35,Metricon Stadium,Gold Coast Suns,GWS Giants,35 - 61
9,02/08/2020 08:10,Optus Stadium,Fremantle,Collingwood,61 - 49
10,03/08/2020 09:10,Adelaide Oval,Port Adelaide,Western Bulldogs,
10,04/08/2020 09:10,Metricon Stadium,Richmond,Brisbane Lions,
10,05/08/2020 07:40,Gabba,Geelong Cats,North Melbourne,
10,05/08/2020 10:10,Adelaide Oval,Adelaide Crows,Melbourne,
10,06/08/2020 07:40,Gabba,Collingwood,Sydney Swans,
10,06/08/2020 10:10,Metricon Stadium,Gold Coast Suns,St Kilda,
10,07/08/2020 09:50,Metricon Stadium,Essendon,GWS Giants,
11,08/08/2020 06:35,Adelaide Oval,Port Adelaide,Richmond,
11,08/08/2020 09:40,Gabba,Brisbane Lions,Western Bulldogs,
11,09/08/2020 05:35,Optus Stadium,West Coast Eagles,Carlton,
11,09/08/2020 08:10,Adelaide Oval,Melbourne,North Melbourne,
11,10/08/2020 08:10,Gabba,Geelong Cats,St Kilda,
11,10/08/2020 10:40,Optus Stadium,Fremantle,Hawthorn,
11,11/08/2020 09:10,Adelaide Oval,Adelaide Crows,Collingwood,
11,12/08/2020 09:10,Metricon Stadium,Gold Coast Suns,Essendon,
12,13/08/2020 10:10,Optus Stadium,Sydney Swans,GWS Giants,
12,14/08/2020 09:50,Metricon Stadium,Geelong Cats,Port Adelaide,
12,15/08/2020 04:35,Blundstone Arena,North Melbourne,Brisbane Lions,
12,15/08/2020 07:10,Gabba,Melbourne,Collingwood,
12,15/08/2020 10:10,Optus Stadium,Fremantle,Carlton,
12,16/08/2020 03:05,Metricon Stadium,Western Bulldogs,Adelaide Crows,
12,16/08/2020 05:35,Gabba,St Kilda,Essendon,
12,16/08/2020 08:10,Optus Stadium,West Coast Eagles,Hawthorn,
12,17/08/2020 09:10,Gabba,Richmond,Gold Coast Suns,
