Match Number,Round Number,Date,Location,Home Team,Away Team,Result
94,11,27/05/2023 06:35,GMHBA Stadium,Geelong Cats,GWS Giants,74 - 81
95,11,27/05/2023 09:25,TIO Stadium,Gold Coast Suns,Western Bulldogs,84 - 77
96,11,27/05/2023 09:40,Optus Stadium,West Coast Eagles,Essendon,46 - 96
97,11,28/05/2023 03:10,MCG,Richmond,Port Adelaide,67 - 77
98,11,28/05/2023 05:20,Marvel Stadium,Collingwood,North Melbourne,105 - 70
99,11,28/05/2023 06:40,Adelaide Oval,Adelaide Crows,Brisbane Lions,95 - 78
100,12,02/06/2023 09:50,MCG,Melbourne,Carlton,61 - 44
101,12,03/06/2023 03:45,Adelaide Oval,Port Adelaide,Hawthorn,151 - 96
102,12,03/06/2023 06:35,Optus Stadium,West Coast Eagles,Collingwood,57 - 120
103,12,03/06/2023 09:25,Marvel Stadium,Western Bulldogs,Geelong Cats,75 - 97
104,12,03/06/2023 09:30,TIO Stadium,Gold Coast Suns,Adelaide Crows,112 - 87
105,12,04/06/2023 03:10,GIANTS Stadium,GWS Giants,Richmond,104 - 110
106,12,04/06/2023 06:40,Marvel Stadium,Essendon,North Melbourne,105 - 99
107,13,08/06/2023 09:10,SCG,Sydney Swans,St Kilda,66 - 80
108,13,09/06/2023 09:50,Marvel Stadium,Western Bulldogs,Port Adelaide,85 - 107
109,13,10/06/2023 03:45,MCG,Hawthorn,Brisbane Lions,98 - 73
110,13,10/06/2023 06:35,Adelaide Oval,Adelaide Crows,West Coast Eagles,174 - 52
111,13,10/06/2023 09:25,Optus Stadium,Fremantle,Richmond,70 - 85
112,13,11/06/2023 05:20,Blundstone Arena,North Melbourne,GWS Giants,
113,13,11/06/2023 09:15,MCG,Carlton,Essendon,
114,13,12/06/2023 05:20,MCG,Melbourne,Collingwood,
115,14,15/06/2023 09:40,Adelaide Oval,Port Adelaide,Geelong Cats,
116,14,16/06/2023 09:50,Gabba,Brisbane Lions,Sydney Swans,
117,14,17/06/2023 06:35,GIANTS Stadium,GWS Giants,Fremantle,
118,14,17/06/2023 09:25,MCG,Richmond,St Kilda,
119,14,18/06/2023 03:10,MCG,Carlton,Gold Coast Suns,
120,14,18/06/2023 06:40,Marvel Stadium,North Melbourne,Western Bulldogs,
121,15,22/06/2023 09:20,GMHBA Stadium,Geelong Cats,Melbourne,
122,15,23/06/2023 09:50,Marvel Stadium,St Kilda,Brisbane Lions,
123,15,24/06/2023 06:35,SCG,Sydney Swans,West Coast Eagles,
124,15,24/06/2023 09:25,Optus Stadium,Fremantle,Essendon,
125,15,25/06/2023 03:10,MCG,Collingwood,Adelaide Crows,
126,15,25/06/2023 06:40,Heritage Bank Stadium,Gold Coast Suns,Hawthorn,
127,16,29/06/2023 09:20,Gabba,Brisbane Lions,Richmond,
131,16,30/06/2023 09:50,SCG,Sydney Swans,Geelong Cats,
132,16,01/07/2023 03:45,Marvel Stadium,Western Bulldogs,Fremantle,
133,16,01/07/2023 03:45,Adelaide Oval,Adelaide Crows,North Melbourne,
129,16,01/07/2023 06:35,Heritage Bank Stadium,Gold Coast Suns,Collingwood,
128,16,01/07/2023 09:25,MCG,Essendon,Port Adelaide,
130,16,02/07/2023 03:10,MCG,Hawthorn,Carlton,
134,16,02/07/2023 05:20,TIO Traeger Park,Melbourne,GWS Giants,
135,16,02/07/2023 06:40,Optus Stadium,West Coast Eagles,St Kilda,
140,17,06/07/2023 09:20,MCG,Richmond,Sydney Swans,
142,17,07/07/2023 09:50,Marvel Stadium,Western Bulldogs,Collingwood,
136,17,08/07/2023 03:45,Gabba,Brisbane Lions,West Coast Eagles,
139,17,08/07/2023 06:35,GIANTS Stadium,GWS Giants,Hawthorn,
141,17,08/07/2023 09:25,Marvel Stadium,St Kilda,Melbourne,
143,17,08/07/2023 09:40,Adelaide Oval,Port Adelaide,Gold Coast Suns,
138,17,09/07/2023 03:10,GMHBA Stadium,Geelong Cats,North Melbourne,
137,17,09/07/2023 05:20,Marvel Stadium,Essendon,Adelaide Crows,
144,17,09/07/2023 06:40,Optus Stadium,Fremantle,Carlton,
151,18,13/07/2023 09:20,SCG,Sydney Swans,Western Bulldogs,
149,18,14/07/2023 09:50,MCG,Melbourne,Brisbane Lions,
146,18,15/07/2023 03:45,MCG,Collingwood,Fremantle,
148,18,15/07/2023 04:10,Heritage Bank Stadium,Gold Coast Suns,St Kilda,
145,18,15/07/2023 06:35,Marvel Stadium,Carlton,Port Adelaide,
147,18,15/07/2023 09:25,GMHBA Stadium,Geelong Cats,Essendon,
152,18,15/07/2023 09:40,Adelaide Oval,Adelaide Crows,GWS Giants,
150,18,16/07/2023 03:10,Marvel Stadium,North Melbourne,Hawthorn,
153,18,16/07/2023 06:40,Optus Stadium,West Coast Eagles,Richmond,
156,19,21/07/2023 09:50,Marvel Stadium,Essendon,Western Bulldogs,
159,19,22/07/2023 03:45,MCG,Richmond,Hawthorn,
155,19,22/07/2023 04:10,Marvel Stadium,Carlton,West Coast Eagles,
154,19,22/07/2023 06:35,Gabba,Brisbane Lions,Geelong Cats,
161,19,22/07/2023 09:40,Adelaide Oval,Port Adelaide,Collingwood,
162,19,22/07/2023 09:40,Optus Stadium,Fremantle,Sydney Swans,
157,19,23/07/2023 03:10,Manuka Oval,GWS Giants,Gold Coast Suns,
158,19,23/07/2023 05:20,MCG,Melbourne,Adelaide Crows,
160,19,23/07/2023 06:40,Marvel Stadium,St Kilda,North Melbourne,
163,20,28/07/2023 09:50,MCG,Collingwood,Carlton,
165,20,29/07/2023 03:45,GMHBA Stadium,Geelong Cats,Fremantle,
169,20,29/07/2023 03:45,Mars Stadium,Western Bulldogs,GWS Giants,
166,20,29/07/2023 06:35,Heritage Bank Stadium,Gold Coast Suns,Brisbane Lions,
164,20,29/07/2023 09:25,Marvel Stadium,Essendon,Sydney Swans,
170,20,29/07/2023 09:40,Adelaide Oval,Adelaide Crows,Port Adelaide,
167,20,30/07/2023 03:10,Marvel Stadium,Hawthorn,St Kilda,
168,20,30/07/2023 05:20,MCG,Richmond,Melbourne,
171,20,30/07/2023 06:40,Optus Stadium,West Coast Eagles,North Melbourne,
178,21,04/08/2023 09:50,Marvel Stadium,Western Bulldogs,Richmond,
172,21,05/08/2023 03:45,Marvel Stadium,Essendon,West Coast Eagles,
179,21,05/08/2023 04:10,Adelaide Oval,Adelaide Crows,Gold Coast Suns,
175,21,05/08/2023 06:35,MCG,Hawthorn,Collingwood,
173,21,05/08/2023 09:25,GMHBA Stadium,Geelong Cats,Port Adelaide,
174,21,05/08/2023 09:30,GIANTS Stadium,GWS Giants,Sydney Swans,
176,21,06/08/2023 03:10,Blundstone Arena,North Melbourne,Melbourne,
177,21,06/08/2023 05:20,Marvel Stadium,St Kilda,Carlton,
180,21,06/08/2023 06:40,Optus Stadium,Fremantle,Brisbane Lions,
183,22,11/08/2023 09:50,MCG,Collingwood,Geelong Cats,
185,22,12/08/2023 03:45,Marvel Stadium,North Melbourne,Essendon,
187,22,12/08/2023 04:10,SCG,Sydney Swans,Gold Coast Suns,
182,22,12/08/2023 06:35,Gabba,Brisbane Lions,Adelaide Crows,
181,22,12/08/2023 09:25,MCG,Carlton,Melbourne,
189,22,12/08/2023 10:10,Optus Stadium,West Coast Eagles,Fremantle,
184,22,13/08/2023 03:10,University of Tasmania Stadium,Hawthorn,Western Bulldogs,
186,22,13/08/2023 05:20,Marvel Stadium,St Kilda,Richmond,
188,22,13/08/2023 06:40,Adelaide Oval,Port Adelaide,GWS Giants,
190,23,18/08/2023 09:50,Marvel Stadium,Collingwood,Brisbane Lions,
194,23,19/08/2023 03:45,MCG,Richmond,North Melbourne,
191,23,19/08/2023 04:10,Heritage Bank Stadium,Gold Coast Suns,Carlton,
192,23,19/08/2023 06:35,GIANTS Stadium,GWS Giants,Essendon,
195,23,19/08/2023 09:25,Marvel Stadium,St Kilda,Geelong Cats,
197,23,19/08/2023 09:40,Adelaide Oval,Adelaide Crows,Sydney Swans,
196,23,20/08/2023 03:10,Marvel Stadium,Western Bulldogs,West Coast Eagles,
193,23,20/08/2023 05:20,MCG,Melbourne,Hawthorn,
198,23,20/08/2023 06:40,Optus Stadium,Fremantle,Port Adelaide,
199,24,25/08/2023 02:00,Gabba,Brisbane Lions,St Kilda,
200,24,25/08/2023 02:00,Marvel Stadium,Carlton,GWS Giants,
201,24,25/08/2023 02:00,MCG,Essendon,Collingwood,
202,24,25/08/2023 02:00,GMHBA Stadium,Geelong Cats,Western Bulldogs,
203,24,25/08/2023 02:00,MCG,Hawthorn,Fremantle,
204,24,25/08/2023 02:00,Blundstone Arena,North Melbourne,Gold Coast Suns,
205,24,25/08/2023 02:00,SCG,Sydney Swans,Melbourne,
206,24,25/08/2023 02:30,Adelaide Oval,Port Adelaide,Richmond,
207,24,25/08/2023 04:00,Optus Stadium,West Coast Eagles,Adelaide Crows,
